tx_descr_fr,tx_adm_dstr_descr_fr,date,nis5,province,region
Anh̩e,Arrondissement de Dinant,2022-03-11,91005,Namur,Wallonia
Beauraing,Arrondissement de Dinant,2022-03-11,91013,Namur,Wallonia
Dinant,Arrondissement de Dinant,2022-03-11,91034,Namur,Wallonia
Gedinne,Arrondissement de Dinant,2022-03-11,91054,Namur,Wallonia
Hamois,Arrondissement de Dinant,2022-03-11,91059,Namur,Wallonia
Onhaye,Arrondissement de Dinant,2022-03-11,91103,Namur,Wallonia
Eghez̩e,Arrondissement de Namur,2022-03-11,92035,Namur,Wallonia
Gesves,Arrondissement de Namur,2022-03-11,92054,Namur,Wallonia
Mettet,Arrondissement de Namur,2022-03-11,92087,Namur,Wallonia
Profondeville,Arrondissement de Namur,2022-03-11,92101,Namur,Wallonia
