tx_descr_fr,tx_adm_dstr_descr_fr,date,province,region
Bi̬vre,Arrondissement de Dinant,2022-03-07,Namur,Wallonia
Gedinne,Arrondissement de Dinant,2022-03-07,Namur,Wallonia
Somme-Leuze,Arrondissement de Dinant,2022-03-07,Namur,Wallonia
Yvoir,Arrondissement de Dinant,2022-03-07,Namur,Wallonia
Eghez̩e,Arrondissement de Namur,2022-03-07,Namur,Wallonia
Fosses-la-Ville,Arrondissement de Namur,2022-03-07,Namur,Wallonia
Gesves,Arrondissement de Namur,2022-03-07,Namur,Wallonia
Mettet,Arrondissement de Namur,2022-03-07,Namur,Wallonia
Jemeppe-sur-Sambre,Arrondissement de Namur,2022-03-07,Namur,Wallonia
Cerfontaine,Arrondissement de Philippeville,2022-03-07,Namur,Wallonia
