Commune,Nbre de cas,Nombre de cas minimum,Arrondissement,date,NIS5,PROVINCE,REGION
Anhée,2443,2443,Arrondissement de Dinant,04-03-22,91005,Namur,Wallonia
Bièvre,1099,1099,Arrondissement de Dinant,04-03-22,91015,Namur,Wallonia
Gedinne,1452,1452,Arrondissement de Dinant,04-03-22,91054,Namur,Wallonia
Hamois,2793,2793,Arrondissement de Dinant,04-03-22,91059,Namur,Wallonia
Havelange,1870,1870,Arrondissement de Dinant,04-03-22,91064,Namur,Wallonia
Houyet,1602,1602,Arrondissement de Dinant,04-03-22,91072,Namur,Wallonia
Hastière,1465,1465,Arrondissement de Dinant,04-03-22,91142,Namur,Wallonia
Vresse-sur-Semois,755,755,Arrondissement de Dinant,04-03-22,91143,Namur,Wallonia
Andenne,9716,9716,Arrondissement de Namur,04-03-22,92003,Namur,Wallonia
Assesse,2560,2560,Arrondissement de Namur,04-03-22,92006,Namur,Wallonia
Eghezée,5606,5606,Arrondissement de Namur,04-03-22,92035,Namur,Wallonia
